signal,position,position_change,actual_return,gross_return,transaction_cost,net_return,cumulative_return
0,0,0,-0.0045688884088861,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0043929343163595,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0033081874641727,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0040524129422336,0.0,0.0,0.0,-0.054552618045869194
0,0,0,0.0060666741817955,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.0101099621326465,-0.0,0.0,-0.0,-0.054552618045869194
1,1,1,0.0080876464468372,0.0080876464468372,0.005,0.0030876464468371995,-0.05163341079630701
0,0,-1,-0.0003218040411337,-0.0,0.005,-0.005,-0.0563752437423255
0,0,0,-0.0007826088068852,-0.0,0.0,-0.0,-0.0563752437423255
0,0,0,-0.0004680796080802,-0.0,0.0,-0.0,-0.0563752437423255
1,1,1,0.0022205645126358,0.0022205645126358,0.005,-0.0027794354873642,-0.05899798787662347
0,0,-1,-0.0083058034139737,-0.0,0.005,-0.005,-0.06370299793724032
0,0,0,-0.0134652849622359,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0009056633696012,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0028891520749483,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0028483292130493,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0075683681673028,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0001931458016272,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0077685757124507,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0073443147826403,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0032734719452297,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0023036589239045,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.001368112972246,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0029796538164743,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0102816351514329,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0073023248773794,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0013170870017955,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0053888236187665,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0059489206725767,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.003505892515303,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0039459891703729,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.002415192821227,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0016460949172731,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0019207489115146,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0029292023741184,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0059555130085656,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0022668168040304,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0011228112677595,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0086216076729828,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0022442783756849,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0024591636867789,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0089495300202928,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0028803547497774,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.003740568395085,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0006737881073508,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,5.518224337481138e-05,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0026530063431246,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0094063884173328,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0143374383044031,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0031544766550398,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0082919254180551,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0046205034042713,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.003058926946508,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0081967876801236,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0087386633773856,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0120997856751969,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0017102584340095,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0007847441118927,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0013425724133289,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0101304909764507,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0028933903958616,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0002073130228613,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0056662261413323,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0033057719884125,0.0,0.0,0.0,-0.06370299793724032
-1,-1,-1,-0.0030390431382622,0.0030390431382622,0.005,-0.0019609568617378003,-0.06553903596805988
0,0,1,0.0002024853359651,0.0,0.005,-0.005,-0.07021134078821956
1,1,1,0.0013932826710198,0.0013932826710198,0.005,-0.0036067173289802,-0.07356482565768796
0,0,-1,-0.0046192637835263,-0.0,0.005,-0.005,-0.07819700152939957
0,0,0,0.0069245782968059,0.0,0.0,0.0,-0.07819700152939957
0,0,0,-0.0010421272064672,-0.0,0.0,-0.0,-0.07819700152939957
0,0,0,0.0048691958841949,0.0,0.0,0.0,-0.07819700152939957
0,0,0,0.0008943275511566,0.0,0.0,0.0,-0.07819700152939957
0,0,0,-0.0028544118215983,-0.0,0.0,-0.0,-0.07819700152939957
0,0,0,0.0004075885913474,0.0,0.0,0.0,-0.07819700152939957
0,0,0,-0.004712097660447,-0.0,0.0,-0.0,-0.07819700152939957
0,0,0,-0.0010047217763925,-0.0,0.0,-0.0,-0.07819700152939957
0,0,0,-0.0095229216571023,-0.0,0.0,-0.0,-0.07819700152939957
-1,-1,-1,-0.0097137314288702,0.0097137314288702,0.005,0.004713731428870199,-0.07385186976428204
0,0,1,-0.0026088094335035,-0.0,0.005,-0.005,-0.07848261041546067
0,0,0,-0.0179601189567064,-0.0,0.0,-0.0,-0.07848261041546067
0,0,0,0.003508641423571,0.0,0.0,0.0,-0.07848261041546067
0,0,0,-0.0035129627100053,-0.0,0.0,-0.0,-0.07848261041546067
0,0,0,-0.008114377825744,-0.0,0.0,-0.0,-0.07848261041546067
0,0,0,-0.0025640406346024,-0.0,0.0,-0.0,-0.07848261041546067
-1,-1,-1,0.0016318560579697,-0.0016318560579697,0.005,-0.0066318560579697,-0.08459398109810135
0,0,1,-0.0054866206842743,-0.0,0.005,-0.005,-0.08917101119261084
0,0,0,0.0022688511627339,0.0,0.0,0.0,-0.08917101119261084
0,0,0,0.0073562697209012,0.0,0.0,0.0,-0.08917101119261084
1,1,1,0.007609434168981,0.007609434168981,0.005,0.002609434168981,-0.08679426290711834
0,0,-1,-0.004333073840188,-0.0,0.005,-0.005,-0.09136029159258274
0,0,0,-0.0118146358174908,-0.0,0.0,-0.0,-0.09136029159258274
0,0,0,-0.005937522161983,-0.0,0.0,-0.0,-0.09136029159258274
0,0,0,0.0041894950537591,0.0,0.0,0.0,-0.09136029159258274
0,0,0,0.0022244787945465,0.0,0.0,0.0,-0.09136029159258274
0,0,0,0.0013561264602945,0.0,0.0,0.0,-0.09136029159258274
0,0,0,-0.0094466413207635,-0.0,0.0,-0.0,-0.09136029159258274
0,0,0,-0.0005140595932975,-0.0,0.0,-0.0,-0.09136029159258274
0,0,0,-0.0066996081826382,-0.0,0.0,-0.0,-0.09136029159258274
0,0,0,-0.0050618256239092,-0.0,0.0,-0.0,-0.09136029159258274
0,0,0,-0.002447416413843,-0.0,0.0,-0.0,-0.09136029159258274
-1,-1,-1,-0.0120138796244076,0.0120138796244076,0.005,0.0070138796244076,-0.08498720205585619
0,0,1,-0.0047298405589145,-0.0,0.005,-0.005,-0.08956226604557693
0,0,0,-0.0083561554435272,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,0.0046927484072082,0.0,0.0,0.0,-0.08956226604557693
0,0,0,0.0024599709302029,0.0,0.0,0.0,-0.08956226604557693
0,0,0,-0.0056728057163284,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,-0.0039294840376313,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,-0.0056764539375032,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,-0.0061376877330501,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,0.000158991776951,0.0,0.0,0.0,-0.08956226604557693
0,0,0,-0.0093915201296178,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,0.0024426672542859,0.0,0.0,0.0,-0.08956226604557693
